#Table1
ra,dec,l,b,u,g,r,i,z,redshift
186.58037713403,1.01973114848714,288.893181146908,63.2047623553896,17.6935,16.64512,16.32172,16.17824,16.07378,0.004153254
159.606276211658,-0.0178599833782813,247.766526578498,48.0831288912646,18.19884,16.96567,16.48693,16.26755,16.16388,0.01908475
172.450028195147,1.13780498108525,262.527201933135,57.4591466872558,17.85741,16.7526,16.36844,16.17404,16.09332,0.01665464
10.2983281648054,15.0526983066797,119.252409881153,-47.7457694878972,18.02372,16.67295,15.8837,15.45716,15.1387,0.01688239
52.4655818599712,-7.6749908461868,192.984164376665,-47.769121102969,18.88252,17.86859,17.56828,17.40854,17.29528,0.01252734
52.5552683776908,-5.54331580016994,190.438264233489,-46.5223303923019,14.80427,13.44129,12.75138,12.31995,11.9627,0.01336469
52.5396851942974,-5.52164577971662,190.399543767402,-46.522927954356,16.49888,14.81011,13.94189,13.48213,13.19392,0.01391623
176.807872558519,-3.44182502737416,273.582782260196,55.7278196791719,17.97628,17.01216,16.71352,16.58341,16.50912,0.01897908
196.592674403736,-1.68115508528562,310.638612712252,60.966890175084,16.11291,14.43541,13.70248,13.32713,13.05494,0.01859772
186.594104893531,-1.25504296779893,289.933185024598,60.9825573559264,17.18796,16.55719,16.43861,16.50838,16.63441,0.006608162
177.401442559908,-1.45549489055479,272.956361740202,57.7721471449094,16.2455,14.51892,13.74011,13.33729,13.01315,0.01872137
166.201805042689,64.0002801163686,140.498179058478,49.3328765427844,24.43475,17.36023,15.98258,15.77898,15.84791,0.01130289
177.41961663791,65.9289922106293,132.660917047022,50.0166315228563,18.55641,17.1426,16.72982,16.55213,16.26327,0.00489969
122.792761718628,46.4610239228441,173.208909938324,32.6534744578028,15.97736,15.35564,15.30733,15.16481,15.56164,0.00750308
259.19884386638,61.9201160752937,91.2695558556873,34.7804496231496,15.18109,14.28794,13.91442,13.72839,13.59344,0.0102476
259.180308818935,61.8505643158244,91.1867985735494,34.797609995859,18.80444,17.66663,17.1715,16.95049,17.00921,0.01048886
127.411461856392,52.076350881266,166.602820804747,35.9431708542266,15.98031,15.08088,15.0491,15.22476,14.60647,0.005847976
163.726129589915,66.028976477777,139.822244960974,47.0958018009521,18.207,17.11323,16.73223,16.52875,16.40282,0.01150628
185.874889938609,2.00808180427767,286.83530175736,64.0031564742447,18.40243,17.17644,16.76216,16.55519,16.36415,0.006051128
215.500120402293,2.57283085413584,348.238252638342,57.2505346473004,19.20775,17.87199,17.24134,16.98389,16.87696,0.00549879
223.643535076032,2.34396410474778,358.162402907039,51.4992906825027,19.49444,17.86393,17.38021,17.34091,17.57373,0.007115354
144.147351300586,1.11661202018793,233.605238278536,36.5858379228126,15.91506,14.79702,14.32236,14.06826,13.84722,0.01643237
185.847526314083,1.81505020817553,286.883239425191,63.8093410034581,17.66129,17.06647,16.93124,16.88504,16.7977,0.006295419
140.292946217659,1.47272606929957,230.688765461259,33.539434031754,17.35045,15.6728,14.90663,14.55048,14.26746,0.01633252
175.467432837054,2.58199079852708,265.81632679662,60.3401237453972,16.77331,15.61479,15.2247,15.0435,14.9523,0.01977145
7.5304754766068,-11.1136235607759,104.531380088548,-73.2192422638284,15.19755,13.55618,12.74413,12.34589,12.11594,0.01176737
47.1186732082258,-7.81912816109648,188.591471202241,-52.2575537691982,17.53015,16.36514,15.93765,16.08832,15.77435,0.01227635
7.53774269096027,-9.9532700668099,105.634933469985,-72.1063889372205,16.0078,15.03373,14.4512,14.20368,13.94074,0.01711115
1.75665987873981,14.1065710314142,106.921357204696,-47.3797681167925,17.109,15.71374,15.08535,14.79496,14.58529,0.01808515
323.764629527008,10.9604026534293,64.8591620898316,-29.0415177720393,18.13675,17.15363,16.62587,16.4833,16.3855,0.01164212
325.595191955451,12.4982830097686,67.5331698824993,-29.4042098824109,16.57814,14.90018,14.0456,13.59546,13.25232,0.01951039
7.59036942187521,-10.0692653572307,105.69636583095,-72.2320351933217,17.88474,16.88659,16.45453,16.24615,16.10574,0.01743454
44.1448190003561,-7.11973288085414,184.726038870906,-54.2160599584039,17.98878,16.89172,16.46212,16.26372,16.1374,0.01747336
113.759424189187,32.8220951199632,186.514611090977,22.8664514585338,15.26103,13.47186,12.56856,12.08693,11.73795,0.01546652
163.701377032291,61.2898773315572,144.593797977239,50.6494334288827,15.2703,13.65644,12.91754,12.56095,12.29405,0.0172569
10.317385745441,15.2171404077165,119.294043891376,-47.5826942918852,17.00791,15.92377,15.40021,15.14024,14.90568,0.01756449
144.169733566487,2.7035593324601,231.955522921502,37.4715475603017,18.9179,16.93031,16.25096,15.87687,15.58766,0.0189364
175.462193668336,2.3929411274072,266.011811352857,60.177757633425,18.71121,17.7632,17.51679,17.42233,17.31977,0.01989757
185.868436605448,65.5567060635266,127.554261737437,51.3199847834588,18.74153,17.86956,17.48191,17.35306,17.40855,0.009270076
140.943190549205,2.75298311578079,229.786563214189,34.7657709420296,17.67416,16.61599,16.20867,16.07662,15.95491,0.01685927
185.86931354432,5.81622764190504,284.34708014055,67.67337026935,17.01081,16.0122,15.67207,15.49914,15.4077,0.003055731
208.743545105915,5.33367644149165,340.524864408767,63.4681180887727,15.11481,13.4405,12.66144,12.20634,11.89057,0.004578432
234.425171945923,57.085139781243,90.2392171128367,48.1271028542702,18.0456,17.06888,16.62857,16.49339,16.35662,0.01158376
234.51146569931,57.5050919315368,90.7610470835509,47.8890867594111,18.39946,17.37367,16.94557,16.74749,16.57694,0.01179948
176.799746231078,58.9190871575526,137.851401874734,56.3096420717688,17.84563,17.30028,17.16648,17.23777,17.19474,0.008282322
155.304551187047,57.0012726498419,154.066617353514,50.0572918505491,17.46599,16.34502,15.98105,15.83614,15.97603,0.009797345
155.30860832497,56.999963979783,154.066498658967,50.0598588150918,17.99171,17.04948,16.84354,16.73577,16.60033,0.009761124
186.602257731974,4.31689684421634,287.16746895817,66.4194836447474,18.68619,17.76035,17.40164,17.26905,17.14175,0.00775449
184.342721965326,5.42923141092555,280.921699269872,66.8338778439547,18.42543,17.4165,16.95668,16.72405,16.72279,0.007161339
185.826841701337,5.60716105252349,284.396890877847,67.4609240618084,17.55254,16.5721,16.17442,15.99047,15.84736,0.006018985
208.761267644005,5.09033264775457,340.26289015991,63.2542702639712,17.90257,16.51922,15.8856,15.56838,15.43189,0.00465898
208.768784406937,5.18950725630028,340.396644942032,63.3335057311237,17.46852,16.6475,16.42119,16.31101,16.29461,0.004689818
244.612953309352,43.9424856986044,69.1631264348516,45.4897560567315,18.33308,17.55474,17.33851,17.27296,17.21178,0.006650023
175.509883704559,62.1542918140792,136.354766548792,53.1281268918976,17.36529,16.1144,15.71351,15.5083,15.42157,0.0128467
177.430783030968,62.422055399854,134.813795774219,53.2595080988361,18.49641,17.80418,17.60602,17.54459,17.4245,0.01289994
206.295385251774,61.2594581714157,111.786325239072,54.6906933236009,18.95728,17.53966,16.90065,16.60531,16.38186,0.006554837
239.958697586248,48.6779343252657,76.7069358925942,47.9433010226847,19.10436,17.58149,16.91269,16.60244,16.37333,0.01999159
234.429519311456,-1.75265762424323,3.89406176263297,40.6610770909007,16.86492,15.42674,14.6582,14.28708,13.93834,0.01170918
234.470460241407,-1.73526307087099,3.94575618120552,40.6401262859413,16.74805,14.64126,13.62025,13.11616,12.72058,0.01133335
345.819881327934,13.5634240170254,86.7191394752078,-41.5794937496467,18.0823,16.92615,16.37776,16.15486,15.93731,0.01205636
1.79866246427639,13.76817460885,106.852716040601,-47.7174482964082,17.12568,16.17325,15.84699,15.65728,15.59326,0.01794177
344.780416720097,13.7212926533158,85.710050919989,-40.8942815939333,17.28048,16.37865,16.14585,16.04925,15.93309,0.00884624
4.00497396191884,16.0259583344906,110.635561528258,-45.9983772910407,17.79187,16.0828,15.28031,14.88948,14.6122,0.01805616
329.604066365758,-0.739611781994078,58.0052263112245,-40.8449628855751,16.89242,15.54113,14.92673,14.78855,14.64773,0.01624549
29.0440310075788,0.254489104387162,155.175900679947,-58.504671832894,17.68121,16.69314,16.33391,16.14795,16.04435,0.01479543
10.3494205024101,-0.064965772595228,117.42837058293,-62.8293242350989,17.94672,16.43692,15.90824,15.68657,15.60155,0.01330698
140.295046319718,45.8878534094833,174.026746253279,44.7452760471379,15.67139,14.49983,13.98496,13.71563,13.50895,0.006255761
117.499788924803,30.746882496828,189.757660476946,25.2422382560927,16.81825,15.05222,14.28961,13.90436,13.60989,0.01454612
117.538460137181,30.7323873171269,189.784166104641,25.2694450260563,17.49528,14.58929,13.72953,13.33808,13.6684,0.01418679
117.538895005107,30.7817132046484,189.732356681192,25.2848842550971,18.48967,17.15133,16.7441,16.55947,16.38108,0.01632614
120.885077852747,34.9656111009777,186.087057920773,29.1440723345497,17.37906,16.14342,15.70798,15.45492,15.39856,0.01767236
117.543900765757,30.6850949011412,189.835533300489,25.259420237843,17.9098,16.59741,16.24195,15.98952,15.9232,0.01479208
176.756649366712,57.0925069327692,139.417620571742,57.9265218526073,15.78559,14.78314,14.2972,14.09511,13.9331,0.002603959
186.64550820625,57.8307813347334,129.354041633399,58.9866109548778,17.09728,15.9194,15.45115,15.24855,15.10894,0.01022303
168.764160350991,57.2379231209118,145.826282412007,55.3966691453782,19.01954,17.67082,17.0786,16.83168,16.7398,0.00640581
140.94895513475,42.1834568801858,179.215153727802,45.4815320045584,16.72397,15.37702,14.73461,14.35491,14.03889,0.0138455
155.60609401396,47.8717766223126,167.198353427085,54.4263748058887,18.59945,17.85292,17.66184,17.6386,17.56019,0.005397268
117.48346601903,26.037112265188,194.650069022961,23.7064635533241,17.28642,16.09813,15.61414,15.38107,15.17988,0.0163058
184.535643327678,-1.06411290806298,285.733361519536,60.6909530533538,16.20415,14.48584,13.77155,13.41108,13.17842,0.01902536
219.958345479831,-0.718152099345027,350.454426937737,51.8605040481561,14.87345,13.67899,13.528,13.65715,14.42121,0.005892978
219.919930642563,-0.302617285932615,350.852191315624,52.1985192215118,17.98482,17.0126,16.75158,16.53631,16.29262,0.006050064
219.927747057998,0.0561291635464158,351.250764095293,52.4620215833623,18.99467,17.96449,17.70204,17.49004,17.55387,0.005732589
193.52152686879,-0.10120268806896,304.378511597149,62.7630411463359,17.76006,16.45932,15.88111,15.7075,15.48883,0.003188187
220.452133210158,0.691163518672375,352.590212029933,52.580388457002,16.80356,16.49359,16.45452,16.83533,16.89699,0.006281051
220.452782137466,0.686968546264345,352.586313512367,52.5768661667068,16.10136,15.04888,14.39974,14.2904,14.34803,0.00628506
228.132230505175,0.812640377260975,1.01719210358641,47.1377886173594,17.26409,16.05783,15.48381,15.16594,15.09985,0.006153071
190.112880022734,1.1969255777183,296.672228491857,63.9349940031943,15.02335,13.20268,12.428,12.02199,11.73058,0.006215455
22.7698413973563,13.6496816378894,137.435675685066,-48.1025072812982,17.25089,15.2818,14.37104,13.91861,13.57271,0.01963193
22.7425306616254,14.1083725485307,137.241185016039,-47.6619534087109,15.35996,13.97361,13.23308,12.85318,12.5203,0.01511234
30.1831569427015,14.2105553201515,147.193192214435,-45.3717497376216,17.89563,16.67623,16.16333,15.92344,15.78542,0.0159717
47.3967478177163,-7.95722117375935,189.03327146848,-52.1107072482073,18.31411,17.23528,16.70192,16.47813,16.27303,0.01271308
47.4128269064982,-7.84618802648846,188.899746020843,-52.0342479545349,16.59815,14.93698,14.34241,13.97036,13.9009,0.01248552
189.445733657349,-2.53315376725764,296.066251286566,60.1563750772546,17.93995,17.08791,16.75998,16.6473,16.52663,0.007896023
189.513420312001,-2.26441720371383,296.144533399879,60.4307610343138,15.42538,14.39133,14.0604,13.80561,13.57597,0.008643118
193.152126127338,-2.06263556792835,303.531465880544,60.8076868826317,17.82759,17.04244,16.759,16.72562,16.62798,0.00940073
193.140619330938,-1.73017815026055,303.514056288548,61.1402353373944,17.14614,15.87863,15.3423,15.09229,14.96756,0.003767548
178.877721872938,-1.26141402233106,275.327278093091,58.5803642615302,16.44967,15.23327,14.61123,14.32096,14.00248,0.01927742
189.443676797285,-2.78165747459049,296.114960571678,59.9090571787341,17.57313,16.44545,15.97198,15.7483,15.70306,0.003644947
204.689337335042,-0.416866682419519,327.291722836633,60.1975718830516,16.58451,15.42661,14.96807,14.74816,14.63355,0.01267416
168.484265636046,65.1776139356737,138.230235628775,48.9535712994493,17.34979,15.65203,14.85028,14.42299,14.12536,0.01134013
137.629081166476,54.3946975836924,162.820649463936,41.7765067175074,16.77941,15.93621,15.61258,15.48712,15.39114,0.01299826
242.083802576392,49.8006687853507,77.8602064149483,46.3401640646445,17.39043,16.45911,16.17841,16.03106,15.91065,0.01923973
128.061923646937,51.7604794305025,166.985652606356,36.3495699061352,18.57095,17.3664,16.90758,16.65978,16.50518,0.01814775
189.512145537793,2.05961390347216,295.076372950124,64.7268737888243,18.66856,17.7546,17.46862,17.42535,17.28415,0.01711838
157.179145123432,2.06347918178446,243.047928474561,47.6354366689523,18.26013,17.55901,17.35418,17.26648,17.21523,0.006897699
228.172453298754,1.62326801069341,1.96516957632517,47.6345801016095,18.41839,17.04428,16.44606,16.17231,15.97078,0.006247486
193.03710853374,3.12074519597199,303.367760290708,65.9918204390842,19.14948,17.56009,16.9497,16.71617,16.44393,0.003617445
171.98728642132,1.29948380597055,261.654548739393,57.3212786184887,19.02641,17.94188,17.5101,17.26302,17.08672,0.01565019
219.913769468341,2.58180720359353,354.111795042528,54.3249660962422,18.49958,17.04744,16.59076,16.40795,16.21111,0.005500982
25.6563721458795,-9.67938599461331,160.032853979731,-68.7793571254763,18.73094,17.68653,17.26015,17.04058,16.96524,0.01816035
11.2468235516452,-8.88971785076719,117.852136595799,-71.6977775642042,15.98095,14.33943,13.72498,13.4002,13.1685,0.01959419
30.1880703906695,-10.2476007698562,170.279586685191,-66.5145711496976,17.81593,16.56373,16.12566,15.90551,15.77169,0.01829565
